标准音：D4^5 = 220*2^(65/164) Hz ≈ 289.56 Hz

时刻	格子图（低音）	格子图（和弦）	和弦图（低音）	和弦图（和弦）	注释
	(-2, 0, 0, 1)	{(-3, 0, 0, 2), (-2, 0, 0, 1), (-1, 0, 0, 1), (0, 0, 0, 1)}	11/9	(1, 3, 11/3, 9)
	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/9	(1, 3, 11/3, 9)
	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/9	(1, 3, 11/3, 9)
	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
	(2, 0, 0, 0)	{(1, 0, 0, 1), (2, 0, 0, 0), (3, 0, 0, 0), (4, 0, 0, 0)}	9	(1, 3, 11/3, 9)
	(4, 0, 0, 0)	{(3, 0, 0, 1), (4, 0, 0, 0), (5, 0, 0, 0), (6, 0, 0, 0)}	81	(1, 3, 11/3, 9)
	(6, 0, 0, -1)	{(5, 0, 0, 0), (6, 0, 0, -1), (7, 0, 0, -1), (8, 0, 0, -1)}	729/11	(1, 3, 11/3, 9)
	(5, 0, 0, -1)	{(4, 0, 0, 0), (5, 0, 0, -1), (6, 0, 0, -1), (7, 0, 0, -1)}	243/11	(1, 3, 11/3, 9)
	(4, 0, 0, -1)	{(3, 0, 0, 0), (4, 0, 0, -1), (5, 0, 0, -1), (6, 0, 0, -1)}	81/11	(1, 3, 11/3, 9)
	(3, 0, 0, -1)	{(2, 0, 0, 0), (3, 0, 0, -1), (4, 0, 0, -1), (5, 0, 0, -1)}	27/11	(1, 3, 11/3, 9)
	(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}	9/11	(1, 3, 11/3, 9)
	(1, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}	3/11	(1, 3, 11/3, 9)
	(0, 0, 0, -1)	{(-1, 0, 0, 0), (0, 0, 0, -1), (1, 0, 0, -1), (2, 0, 0, -1)}	1/11	(1, 3, 11/3, 9)
	(-1, 0, 0, -1)	{(-2, 0, 0, 0), (-1, 0, 0, -1), (0, 0, 0, -1), (1, 0, 0, -1)}	1/33	(1, 3, 11/3, 9)
	(-2, 0, 0, -1)	{(-3, 0, 0, 0), (-2, 0, 0, -1), (-1, 0, 0, -1), (0, 0, 0, -1)}	1/99	(1, 3, 11/3, 9)
	(-3, 0, 0, -1)	{(-4, 0, 0, 0), (-3, 0, 0, -1), (-2, 0, 0, -1), (-1, 0, 0, -1)}	1/297	(1, 3, 11/3, 9)
	(-4, 0, 0, -1)	{(-5, 0, 0, 0), (-4, 0, 0, -1), (-3, 0, 0, -1), (-2, 0, 0, -1)}	1/891	(1, 3, 11/3, 9)
	(-5, 0, 0, -1)	{(-6, 0, 0, 0), (-5, 0, 0, -1), (-4, 0, 0, -1), (-3, 0, 0, -1)}	1/2673	(1, 3, 11/3, 9)
	(-6, 0, 0, -1)	{(-6, 0, 0, -1), (-6, 0, 0, 0), (-5, 0, 0, -1), (-4, 0, 0, -1), (-3, 0, 0, -1)}	1/8019	(1, 3, 9, 11)	和弦图少了 27？
	(-2, 0, 0, -1)	{(-3, 0, 0, 0), (-2, 0, 0, -1), (-1, 0, 0, -1), (0, 0, 0, -1)}	1/99	(1, 3, 11/3, 9)
	(-3, 0, 0, -1)	{(-3, 0, 0, -1), (-3, 0, 0, 0), (-2, 0, 0, -1), (-1, 0, 0, -1), (0, 0, 0, -1)}	1/297	(1, 3, 9, 11, 27)
	(-3, 0, 0, 0)	{(-4, 0, 0, 1), (-3, 0, 0, 0), (-2, 0, 0, 0)}	1/27	(1, 3, 11/3)
