GB/T 25914-2023	GB/T 25914-2010	Onon Sonin Sans
ᠬᠡᠳᠦᠨ	ᠬᠡᠳᠦᠨ	ᠬᠡᠳᠦᠨ
ᠬᠡᠵᠢᠶᠡᠳᠡ	ᠬᠡᠵᠢᠶᠡᠳᠡ	ᠬᠡᠵᠢᠶᠡᠳᠡ
ᠬᠡᠷᠡᠭ᠎ᠲᠦ	ᠬᠡᠷᠡᠭ ᠲᠦ	ᠬᠡᠷᠡᠭ ᠲᠦ
ᠬᠡᠷᠡᠭ᠎ᠲᠦᠷ	ᠬᠡᠷᠡᠭ ᠲᠦᠷ	ᠬᠡᠷᠡᠭ ᠲᠦᠷ
ᠬᠡᠷᠪᠡ	ᠬᠡᠷᠪᠡ	ᠬᠡᠷᠪᠡ
ᠬᠢ	ᠬᠢ	ᠬᠢ
ᠬᠣ	ᠬᠣ	ᠬᠣ
ᠬᠣᠯᠪᠣᠭ᠎ᠠ	ᠬᠣᠯᠪᠣᠭ᠎ᠠ	ᠬᠣᠯᠪᠣᠭ᠎ᠠ
ᠬᠣᠷᠢᠭᠳᠠᠪᠠᠯ	ᠬᠣᠷᠢᠭᠳᠠᠪᠠᠯ	ᠬᠣᠷᠢᠭᠳᠠᠪᠠᠯ
ᠬᠣᠷᠢᠭᠳᠠᠪᠠᠰᠤ	ᠬᠣᠷᠢᠭᠳᠠᠪᠠᠰᠤ	ᠬᠣᠷᠢᠭᠳᠠᠪᠠᠰᠤ
ᠬᠤ	ᠬᠤ	ᠬᠤ
ᠬᠤᠷ᠎ᠠ᠎ᠶᠢᠨ	ᠬᠤᠷ᠎ᠠ ᠶᠢᠨ	ᠬᠤᠷ᠎ᠠ ᠶᠢᠨ
ᠬᠥ	ᠬᠥ᠋	ᠬᠥ᠋
ᠬᠥᠬᠡ	ᠬᠥᠬᠡ	ᠬᠥᠬᠡ
ᠬᠥᠮᠦᠨ	ᠬᠥᠮᠦᠨ	ᠬᠥᠮᠦᠨ
ᠬᠥᠮᠦᠰ	ᠬᠥᠮᠦᠰ	ᠬᠥᠮᠦᠰ
ᠬᠥᠶᠢ	ᠬᠥᠶ᠋ᠢ	ᠬᠥᠶᠢ
